fuel_flow,power
0.021,245
0.021,245
0.021,245
0.021,245
0.0211,246
0.0211,246
0.0211,246
0.0211,246
0.0211,246
0.0211,246
0.0211,247
0.0211,247
0.0211,247
0.0211,247
0.0211,247
0.0211,247
0.0212,248
0.0212,248
0.0212,248
0.0212,248
0.0212,248
0.0212,248
0.0213,249
0.0213,249
0.0213,249
0.0213,249
0.0213,249
0.0213,249
0.0214,250
0.0214,250
0.0214,250
0.0214,250
0.0214,250
0.0214,250
0.0215,251
0.0215,251
0.0215,251
0.0215,251
0.0215,251
0.0215,251
0.0215,252
0.0215,252
0.0215,252
0.0215,252
0.0215,252
0.0216,252.6666667
0.0216,253
0.0216,253
0.0216,253
0.0216,253
0.0216,253
0.0217,253.6666667
0.0217,254
0.0217,254
0.0217,254
0.0217,254
0.0217,254
0.0217,254
0.0218,255
0.0218,255
0.0218,255
0.0218,255
0.0218,255
0.0218,255
0.0219,256
0.0219,256
0.0219,256
0.0219,256
0.0219,256
0.0219,256
0.0219,257
0.0219,257
0.0219,257
0.0219,257
0.0219,257
0.0219,257
0.022,258
0.022,258
0.022,258
0.022,258
0.022,258
0.022,258
0.0221,259
0.0221,259
0.0221,259
0.0221,259
0.0221,259
0.0221,259
0.0222,260
0.0222,260
0.0222,260
0.0222,260
0.0222,260
0.0222,260
0.0223,261
0.0223,261
0.0223,261
0.0223,261
0.0223,261
0.0223,261.75
0.0224,262
0.0224,262
0.0224,262
0.0224,262
0.0224,262
0.0224,262
0.0224,263
0.0224,263
0.0224,263
0.0224,263
0.0224,263
0.0224,263
0.0225,264
0.0225,264
0.0225,264
0.0225,264
0.0225,264
0.0225,264
0.0226,265
0.0226,265
0.0226,265
0.0226,265
0.0226,265
0.0226,265
0.0227,266
0.0227,266
0.0227,266
0.0227,266
0.0227,266
0.0227,266
0.0228,267
0.0228,267
0.0228,267
0.0228,267
0.0228,267
0.0228,267
0.0228,268
0.0228,268
0.0228,268
0.0228,268
0.0228,268
0.0229,268.6666667
0.0229,269
0.0229,269
0.0229,269
0.0229,269
0.0229,269
0.0229,269
0.023,270
0.023,270
0.023,270
0.023,270
0.023,270
0.023,270
0.0231,271
0.0231,271
0.0231,271
0.0231,271
0.0231,271
0.0231,271
0.0232,272
0.0232,272
0.0232,272
0.0232,272
0.0232,272
0.0232,272
0.0232,273
0.0232,273
0.0232,273
0.0232,273
0.0232,273
0.0232,273
0.0233,274
0.0233,274
0.0233,274
0.0233,274
0.0233,274
0.0233,274
0.0234,275
0.0234,275
0.0234,275
0.0234,275
0.0234,275
0.0234,275
0.0235,276
0.0235,276
0.0235,276
0.0235,276
0.0235,276
0.0235,276
0.0236,277
0.0236,277
0.0236,277
0.0236,277
0.0236,277
0.0236,277.5
0.0236,278
0.0236,278
0.0236,278
0.0236,278
0.0236,278
0.0236,278
0.0237,279
0.0237,279
0.0237,279
0.0237,279
0.0237,279
0.0237,279
0.0238,280
0.0238,280
0.0238,280
0.0238,280
0.0238,280
0.0238,280
0.0239,281
0.0239,281
0.0239,281
0.0239,281
0.0239,281
0.0239,281
0.024,282
0.024,282
0.024,282
0.024,282
0.024,282
0.024,282
0.024,283
0.024,283
0.024,283
0.024,283
0.024,283
0.024,283
0.0241,284
0.0241,284
0.0241,284
0.0241,284
0.0241,284
0.0241,284
0.0242,285
0.0242,285
0.0242,285
0.0242,285
0.0242,285
0.0242,285
0.0243,286
