Tamb,P(kW),Qch(tons)
-2.841666667,0,0
-3.3,0,0
-3.3,0,0
-2.658333333,0,0
-1.908333333,0,0
-0.708333333,0,0
0.641666667,0,0
1.741666667,0,0
1.908333333,0,0
2.341666667,0,0
2.8,0,0
1.808333333,0,0
0.458333333,0,0
0,0,0
0.35,0,0
0.891666667,0,0
1.1,0,0
1.741666667,0,0
2.2,0,0
2.2,0,0
2.2,0,0
2.2,0,0
2.55,0,0
2.45,0,0
2.55,0,0
3.091666667,0,0
3.008333333,0,0
3.091666667,0,0
3.65,0,0
4.891666667,0,0
6.241666667,0,0
7.983333333,0,0
9.191666667,0,0
10.1,0,0
11.24166667,0,0
11.35,0,0
11.45,0,0
11.05833333,0,0
10.6,0,0
10.25,0,0
10,0,0
9.65,0,0
8.758333333,0,0
8.3,0,0
8.3,0,0
8.008333333,0,0
7.8,0,0
7.8,0,0
8.091666667,0,0
8.3,0,0
8.65,0,0
9.191666667,0,0
9.75,0,0
10,0,0
10.64166667,0,0
11.45,0,0
12.34166667,0,0
13.44166667,0,0
14.54166667,0,0
15.35,0,0
15.25,0,0
15.35,0,0
15.89166667,0,0
16.1,0,0
15.10833333,0,0
14.10833333,0,0
13.55,0,0
13.94166667,0,0
14.10833333,0,0
13.55,0,0
13.65,0,0
13.9,0,0
13.9,0,0
13.55,0,0
13.00833333,0,0
12.8,0,0
13.09166667,60.60844055,175.3020432
13.65,67.94111168,183.8300555
13.9,65.44280568,175.8303827
14.19166667,65.97601795,178.1340954
14.4,71.1817772,196.6647012
12.825,24.16364625,67.01072379
11.05833333,0,0
9.258333333,0,0
7.658333333,0,0
6.558333333,0,0
5.808333333,0,0
4.9,0,0
4.108333333,0,0
3.258333333,0,0
2.45,0,0
1.558333333,0,0
0.808333333,0,0
0.25,0,0
-0.35,0,0
-0.891666667,0,0
-1.45,0,0
-1.991666667,0,0
-1.908333333,0,0
-0.708333333,0,0
0.641666667,0,0
1.45,0,0
2.633333333,0,0
3.3,0,0
2.658333333,0,0
2.2,0,0
2.2,0,0
2.2,0,0
1.558333333,0,0
0.808333333,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.891666667,0,0
1.1,0,0
1.45,0,0
1.7,0,0
1.7,0,0
1.991666667,0,0
2.841666667,0,0
3.65,0,0
4.891666667,0,0
5.6,0,0
6.241666667,0,0
6.7,0,0
6.35,0,0
6.1,0,0
5.808333333,0,0
5.25,0,0
4.358333333,0,0
4.191666667,0,0
4.4,0,0
3.758333333,0,0
3.3,0,0
3.65,0,0
3.258333333,0,0
2.8,0,0
2.8,0,0
2.8,0,0
3.441666667,0,0
4.191666667,0,0
4.75,0,0
5.991666667,0,0
7.341666667,0,0
7.8,0,0
8.091666667,0,0
8.3,0,0
8.3,0,0
8.65,0,0
9.191666667,0,0
9.108333333,0,0
8.9,0,0
8.9,0,0
8.9,0,0
8.9,0,0
8.9,0,0
8.9,0,0
8.55,0,0
8.941666667,0,0
9.75,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10.35,0,0
10.89166667,0,0
11.45,0,0
11.99166667,0,0
12.84166667,0,0
14.29166667,0,0
16.28333333,0,0
17.84166667,0,0
18.65,0,0
19.19166667,0,0
19.10833333,0,0
19.19166667,0,0
17.475,0,0
16.74166667,0,0
17.84166667,52.92887434,149.729094
18.00833333,82.27503545,234.0686807
17.45,79.74104315,224.9165036
16.90833333,75.19997814,209.8781717
15.06666667,70.22196561,192.4842966
13.25833333,60.15797319,156.0106691
13.09166667,64.38861401,169.6282506
13.3,63.74109643,168.4929267
14.93333333,65.78240432,176.6489531
16.45,69.13582354,189.5493155
16.99166667,73.45896557,204.5450798
17.2,80.34195974,228.0064167
17.55,85.96806694,246.1898192
18.73333333,92.53736482,263.0696115
21.03333333,106.8120503,293.7257939
22.84166667,121.0366106,313.7621943
23.65,132.5138161,329.0328256
24.54166667,146.2096211,349.2483996
25.35,175.7037027,395.4529044
25.6,173.186492,381.1629456
24.25833333,156.4653385,352.3548278
23.00833333,131.2550132,312.5885507
21.51666667,112.958731,283.1465842
18.325,91.48922264,240.6492417
16.05833333,69.11780876,185.5603606
15.6,65.487217,175.8204444
15.25,15.60847283,41.24942708
14.65,0,0
13.75833333,0,0
12.36666667,0,0
10.70833333,0,0
9.358333333,0,0
7.908333333,0,0
7.55,0,0
6.808333333,0,0
6.45,0,0
6.991666667,0,0
7.55,0,0
7.8,0,0
7.158333333,0,0
6.058333333,0,0
4.9,0,0
4.108333333,0,0
3.258333333,0,0
3.091666667,0,0
3.3,0,0
3.3,0,0
3.3,0,0
3.3,0,0
3.3,0,0
3.008333333,0,0
2.8,0,0
2.8,0,0
2.45,0,0
2.2,0,0
2.2,0,0
2.2,0,0
2.2,0,0
2.55,0,0
2.8,0,0
2.8,0,0
2.8,0,0
3.091666667,0,0
3.3,0,0
3.65,0,0
3.55,0,0
3.65,0,0
3.9,0,0
4.191666667,0,0
4.4,0,0
4.4,0,0
4.75,0,0
5,0,0
5,0,0
5.35,0,0
5.891666667,0,0
6.1,0,0
6.1,0,0
6.45,0,0
6.7,0,0
6.7,0,0
6.7,0,0
