Time (HH:MM),GHI (W/m^2),TotCld (tenths)
16:00,330,10
17:00,184,10
18:00,73,10
19:00,3,10
20:00,0,10
21:00,0,10
22:00,0,10
23:00,0,10
24:00:00,0,10
1:00,0,10
2:00,0,10
3:00,0,10
4:00,0,10
5:00,0,7
6:00,0,5
7:00,0,3
8:00,45,0
9:00,211,0
10:00,418,0
11:00,593,0
12:00,715,0
13:00,769,2
14:00,749,2
15:00,657,2
16:00,455,7
17:00,239,8
18:00,77,8
19:00,5,8
20:00,0,7
21:00,0,7
22:00,0,5
23:00,0,5
24:00:00,0,7
1:00,0,7
2:00,0,8
3:00,0,6
4:00,0,4
5:00,0,4
6:00,0,2
7:00,0,0
8:00,47,0
9:00,225,0
10:00,429,0
11:00,606,0
12:00,718,0
13:00,775,0
14:00,755,0
15:00,664,0
16:00,510,0
17:00,312,0
18:00,104,0
19:00,9,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,48,0
9:00,222,0
10:00,431,0
11:00,608,0
12:00,730,1
13:00,784,1
14:00,766,2
15:00,540,2
16:00,511,1
17:00,300,4
18:00,97,3
19:00,8,2
20:00,0,1
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,50,2
9:00,231,3
10:00,419,3
11:00,580,3
12:00,704,4
13:00,733,5
14:00,714,3
15:00,669,1
16:00,515,0
17:00,314,0
18:00,105,0
19:00,10,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,1
2:00,0,2
3:00,0,3
4:00,0,4
5:00,0,4
6:00,0,4
7:00,0,4
8:00,49,0
9:00,225,0
10:00,434,0
11:00,609,0
12:00,728,0
13:00,778,0
14:00,755,0
15:00,664,0
16:00,509,0
17:00,310,0
18:00,104,0
19:00,8,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,46,0
9:00,219,0
10:00,429,0
11:00,603,0
12:00,724,0
13:00,773,0
14:00,751,0
15:00,659,0
16:00,503,0
17:00,303,0
18:00,100,0
19:00,9,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,53,0
9:00,241,0
10:00,450,0
11:00,625,0
12:00,741,0
13:00,792,0
14:00,771,0
15:00,679,0
16:00,526,0
17:00,326,0
18:00,115,0
19:00,13,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,63,0
9:00,259,0
10:00,468,0
11:00,642,0
12:00,757,0
13:00,812,2
14:00,792,2
15:00,591,4
16:00,531,4
17:00,342,3
18:00,126,2
19:00,16,1
20:00,0,1
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,56,0
9:00,252,0
10:00,466,0
11:00,642,0
12:00,759,0
13:00,807,0
14:00,785,0
15:00,692,0
16:00,535,0
17:00,331,0
18:00,119,0
19:00,14,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,7
2:00,0,4
3:00,0,9
4:00,0,9
5:00,0,10
6:00,0,10
7:00,0,10
8:00,11,10
9:00,42,10
10:00,489,9
11:00,445,5
12:00,781,5
13:00,157,8
14:00,556,5
15:00,696,4
16:00,566,3
17:00,378,3
18:00,189,3
19:00,0,3
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,61,0
9:00,278,0
10:00,480,0
11:00,669,0
12:00,765,0
13:00,813,0
14:00,770,0
15:00,709,0
16:00,572,0
17:00,395,0
18:00,183,0
19:00,0,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,70,0
9:00,284,0
10:00,481,0
11:00,653,0
12:00,736,0
13:00,795,3
14:00,789,5
15:00,689,1
16:00,557,0
17:00,393,0
18:00,199,0
19:00,0,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,74,0
9:00,294,0
10:00,502,0
11:00,654,0
12:00,765,1
13:00,819,3
14:00,454,3
15:00,522,6
16:00,337,8
17:00,62,9
18:00,193,10
19:00,0,9
20:00,0,10
21:00,0,10
22:00,0,10
23:00,0,10
24:00:00,0,10
1:00,0,9
2:00,0,9
3:00,0,9
4:00,0,9
5:00,0,10
6:00,0,8
7:00,0,8
8:00,17,10
9:00,158,10
10:00,246,10
11:00,109,8
12:00,178,10
13:00,187,10
14:00,410,10
15:00,114,10
16:00,132,10
17:00,89,10
18:00,208,10
19:00,0,10
20:00,0,10
21:00,0,10
22:00,0,10
23:00,0,10
24:00:00,0,10
1:00,0,10
2:00,0,10
3:00,0,10
4:00,0,10
5:00,0,10
6:00,0,10
7:00,0,10
8:00,12,10
9:00,47,10
10:00,81,10
11:00,109,10
12:00,127,10
13:00,133,10
14:00,133,10
15:00,114,10
16:00,95,10
17:00,88,10
18:00,101,10
19:00,0,10
20:00,0,10
21:00,0,10
22:00,0,10
23:00,0,10
24:00:00,0,10
1:00,0,10
2:00,0,10
3:00,0,10
4:00,0,10
5:00,0,10
6:00,0,10
7:00,0,10
8:00,53,10
9:00,194,10
10:00,121,10
11:00,202,10
12:00,236,10
13:00,452,10
14:00,599,8
15:00,541,8
16:00,554,8
17:00,405,4
18:00,196,5
19:00,0,5
20:00,0,3
21:00,0,3
22:00,0,3
23:00,0,3
24:00:00,0,4
1:00,0,2
2:00,0,3
3:00,0,6
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,93,0
9:00,312,0
10:00,526,0
11:00,689,0
12:00,813,0
13:00,862,3
14:00,826,3
15:00,721,3
16:00,539,6
17:00,280,5
18:00,115,8
19:00,0,9
20:00,0,5
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,4
1:00,0,4
2:00,0,4
3:00,0,9
4:00,0,10
5:00,0,7
6:00,0,5
7:00,0,5
8:00,97,4
9:00,314,5
10:00,532,3
11:00,700,3
12:00,761,5
13:00,844,4
14:00,845,5
15:00,707,5
16:00,560,3
17:00,349,6
18:00,186,6
19:00,0,2
20:00,0,2
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,97,0
9:00,311,0
10:00,523,0
11:00,706,0
12:00,813,0
13:00,874,0
14:00,833,1
15:00,734,0
16:00,588,0
17:00,418,0
18:00,218,0
19:00,1,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,107,0
9:00,326,0
10:00,529,0
11:00,701,0
12:00,814,0
13:00,832,0
14:00,839,0
15:00,727,1
16:00,580,1
17:00,416,1
18:00,142,1
19:00,1,1
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,1
2:00,0,1
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,110,0
9:00,323,0
10:00,535,0
11:00,686,0
12:00,808,0
13:00,869,1
14:00,814,1
15:00,686,3
16:00,449,4
17:00,328,6
18:00,191,6
19:00,1,5
20:00,0,6
21:00,0,6
22:00,0,5
23:00,0,6
24:00:00,0,7
1:00,0,6
2:00,0,10
3:00,0,10
4:00,0,10
5:00,0,8
6:00,0,9
7:00,0,8
8:00,43,8
9:00,222,8
10:00,505,4
