timestamp,natural_gas_cost
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/11/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/12/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/13/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/14/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/15/2018,6.884
2/16/2018,6.884
2/16/2018,6.884
2/16/2018,6.884
2/16/2018,6.884
2/16/2018,6.884
2/16/2018,6.884
2/16/2018,6.884
2/16/2018,6.884
2/16/2018,6.884
